sector,years_in_operation,num_employees,loan_amount_kes,loan_term_months,interest_rate_pct,mpesa_avg_monthly_inflow,mpesa_avg_monthly_outflow,mpesa_txn_count_monthly,mpesa_savings_ratio,electricity_payment_delays,electricity_bill_avg,water_bill_avg,social_media_active,online_ads_spend_kes,avg_monthly_data_spend,avg_monthly_airtime_spend,pos_monthly_sales,pos_txn_volume,loan_default,dataset_source
ICT,6.4,3,475699,12,20.96,22845,11145,166,0.5121,5,4927,1956,1,4507,4794,1744,567290,819,0,Kenya_SME
Manufacturing,3,3,335027,36,13.45,258800,51760,175,0.8,0,8952,1572,1,5664,6623,2870,1004465,866,0,Kenya_SME
Manufacturing,4.3,5,196195,24,14.75,59734,24306,142,0.5931,5,4087,904,1,1846,3913,1774,161277,679,0,Kenya_SME
Transport,4,13,318140,24,11.63,13267,8679,485,0.3458,5,21254,491,0,0,526,611,55862,171,1,Kenya_SME
Informal,2.3,4,264424,18,27.27,6494,5255,47,0.1907,10,2111,1299,0,0,979,618,85724,467,0,Kenya_SME
Informal,4.6,1,142290,24,14.91,47662,36699,223,0.23,4,3247,7712,1,1887,1108,801,99309,324,0,Kenya_SME
Services,7.3,4,568871,60,17.35,659960,440203,317,0.333,2,1982,2819,1,7789,2286,1161,234927,615,0,Kenya_SME
ICT,3.4,7,105349,48,19.02,296419,231778,64,0.2181,6,6098,1120,1,11314,673,601,48737,236,0,Kenya_SME
Services,2,2,582116,18,22.31,108772,65501,122,0.3978,6,2187,7892,0,0,836,597,41062,65,0,Kenya_SME
Hospitality,9.9,5,3423721,36,12.66,22416,17464,135,0.2209,2,3524,1914,0,0,2694,1464,145135,257,1,Kenya_SME
Wholesale,3.8,6,162529,12,12.77,47863,40972,179,0.144,2,2538,1171,1,4978,3614,841,61516,144,0,Kenya_SME
Construction,1.2,2,2006509,12,15.29,35110,17573,407,0.4995,2,3073,2123,1,1296,837,446,77283,596,0,Kenya_SME
Informal,6.9,13,734452,12,21.61,30763,20784,2645,0.3244,5,14406,1535,1,5968,601,1632,34209,136,0,Kenya_SME
Agribusiness,0.5,3,385750,12,25.96,61987,33411,280,0.461,1,2013,2735,1,2066,1511,1276,35354,135,0,Kenya_SME
Informal,0.5,3,185769,24,14.53,207578,84974,302,0.5906,5,12802,3226,0,0,1982,813,122696,323,0,Kenya_SME
Transport,0.6,6,220654,24,18.08,53508,45807,187,0.1439,1,5075,1189,0,0,5580,1125,20665,39,0,Kenya_SME
Agribusiness,5.7,1,1312728,24,21.89,44521,25177,227,0.4345,4,4359,2697,0,0,2610,1024,218784,496,0,Kenya_SME
Retail,16.8,14,321558,18,18.54,50623,14115,1063,0.7212,0,6735,1293,0,0,2718,1717,136944,288,0,Kenya_SME
Transport,11.6,1,553991,36,13.76,58164,27239,558,0.5317,2,4371,3137,0,0,2178,1595,83615,368,0,Kenya_SME
Agribusiness,18.3,23,153169,12,11.92,46025,9205,241,0.8,1,23044,2141,1,2782,1476,748,164740,248,0,Kenya_SME
Agribusiness,0.9,12,259876,48,13.03,22417,11422,321,0.4904,2,5668,423,0,0,3523,571,104500,213,1,Kenya_SME
Services,5.4,1,1285107,12,14.95,79640,64138,218,0.1946,5,2538,1143,0,0,890,1719,132971,575,0,Kenya_SME
Retail,0.9,6,807932,36,16.09,48233,27588,506,0.428,1,1801,1711,0,0,3538,574,120614,238,0,Kenya_SME
Manufacturing,2.8,1,95097,36,21.23,18595,13895,112,0.2527,4,1340,2249,0,0,1120,1302,31177,74,1,Kenya_SME
ICT,1.2,1,231681,24,16.95,50729,29752,266,0.4135,2,8181,980,0,0,3982,1233,73834,223,1,Kenya_SME
Retail,2.8,1,424706,12,20.46,10851,8112,608,0.2524,3,2286,2878,1,255,1229,1792,108183,185,1,Kenya_SME
Wholesale,1.1,7,393555,18,16.96,14416,5738,301,0.6019,4,1696,1070,0,0,1105,2386,79784,255,0,Kenya_SME
Retail,10.8,2,500345,24,21.48,56410,45395,430,0.1953,4,7975,789,0,0,1060,2184,258535,691,1,Kenya_SME
Hospitality,11,9,5846367,24,6,60331,45056,390,0.2532,0,7982,4361,1,1259,4734,1699,293597,861,0,Kenya_SME
Manufacturing,3,5,595028,36,20.79,38467,17372,147,0.5484,3,1679,533,0,0,2057,2312,32212,37,1,Kenya_SME
ICT,21.7,1,675957,24,14.08,61004,50438,85,0.1732,1,13266,3002,1,1277,1669,1057,199892,670,0,Kenya_SME
Transport,0.8,8,253323,18,23.66,28850,19589,212,0.321,6,5876,1375,1,1701,4985,1054,15752,32,0,Kenya_SME
Hospitality,0.5,6,2593435,12,14.69,16240,15219,128,0.0629,2,3170,1918,0,0,4270,772,213762,416,1,Kenya_SME
Services,2.7,2,186048,36,13.2,36630,24757,199,0.3241,3,3541,1081,0,0,6408,1138,41845,189,0,Kenya_SME
Services,4.5,11,2041334,48,19.62,254021,123305,320,0.5146,2,3945,1149,0,0,3977,852,131457,642,0,Kenya_SME
Retail,0.5,3,921217,12,14.91,114598,86859,723,0.2421,0,1820,4470,1,8794,3067,1640,114005,477,0,Kenya_SME
Services,1.4,2,465339,24,12.04,177248,103470,406,0.4162,1,6759,4459,0,0,7358,710,55514,124,0,Kenya_SME
Services,3.5,3,302403,24,16.93,49725,23753,105,0.5223,5,1681,2157,0,0,7100,903,13357,77,1,Kenya_SME
Wholesale,11.7,2,505491,12,17.51,19067,10978,232,0.4242,2,14657,550,1,4889,1003,2600,78425,144,0,Kenya_SME
Retail,8.3,1,2160124,12,20.62,57182,33914,216,0.4069,2,3522,1246,0,0,3407,883,1604198,3051,1,Kenya_SME
Services,14.9,1,376300,36,13.27,34071,22722,270,0.3331,1,18452,1170,1,17437,1108,3631,34871,36,0,Kenya_SME
Manufacturing,0.5,19,331564,24,18.92,18810,9959,96,0.4705,7,3860,639,0,0,287,906,60311,145,1,Kenya_SME
Wholesale,8.4,11,631209,24,23.92,80248,57691,304,0.2811,4,4457,601,0,0,2713,664,115378,131,1,Kenya_SME
Wholesale,3.9,16,126761,18,17.05,30788,17172,1117,0.4422,5,3257,2570,0,0,861,857,31670,58,1,Kenya_SME
Manufacturing,2.5,10,346750,6,17.25,29694,17108,928,0.4238,1,35058,1107,0,0,1988,2022,53296,153,0,Kenya_SME
Services,6.6,3,1169825,24,20.44,40177,17538,463,0.5635,3,1451,3486,1,6494,1135,1204,134395,624,0,Kenya_SME
Manufacturing,9.7,4,527327,12,17.39,116205,62999,782,0.4579,1,7087,4367,0,0,4058,1285,50807,182,0,Kenya_SME
Transport,1.7,2,105786,24,18.11,16374,11612,1062,0.2908,4,3538,3320,0,0,3070,881,35697,60,0,Kenya_SME
ICT,5.6,7,634648,24,11.94,139900,49842,314,0.6437,2,5791,1052,1,3301,2377,2141,123121,330,0,Kenya_SME
Agribusiness,0.5,7,979864,24,17.83,226070,186869,511,0.1734,0,1931,2782,1,783,1362,1282,205767,449,0,Kenya_SME
Agribusiness,0.6,3,906992,24,22.87,27046,14778,273,0.4536,1,7256,1968,0,0,1642,627,86259,102,0,Kenya_SME
Wholesale,6,6,493189,48,18.24,111205,76798,154,0.3094,1,4723,1414,1,12411,3467,734,409655,3107,0,Kenya_SME
ICT,2.6,12,454007,36,14.27,80604,19069,135,0.7634,4,25665,1704,0,0,2712,505,27521,68,1,Kenya_SME
Retail,0.5,4,240534,18,22.52,23965,11614,206,0.5153,1,1093,1738,1,10225,1728,833,68386,220,0,Kenya_SME
Manufacturing,2.2,1,677723,12,14.92,36119,29520,121,0.1827,8,7714,1648,1,1617,787,1241,50844,106,1,Kenya_SME
Agribusiness,1.4,6,312469,6,27.18,24726,17858,59,0.2778,11,3125,2928,0,0,2550,1712,29274,67,1,Kenya_SME
Transport,6.9,1,485691,24,22.84,101388,28631,178,0.7176,0,22556,2314,0,0,3829,1834,78019,298,1,Kenya_SME
Retail,8,1,599241,18,18.75,128192,45268,230,0.6469,2,15411,2221,0,0,890,1147,24304,97,1,Kenya_SME
ICT,3.8,5,383081,6,22.27,49954,18362,192,0.6324,3,1730,612,1,3332,877,1934,41859,136,0,Kenya_SME
Wholesale,3.2,8,834638,18,20.43,26663,10129,485,0.6201,5,4735,882,1,2643,2327,1122,215285,470,0,Kenya_SME
Hospitality,17.2,5,494896,12,16.42,22030,9774,1027,0.5563,4,6361,2169,1,2504,1506,1288,243752,445,0,Kenya_SME
Informal,4.4,2,69840,24,20.96,45254,36016,511,0.2041,2,2970,1018,1,6570,1809,1319,182653,264,0,Kenya_SME
Services,4.1,54,389772,48,21.38,45966,19847,104,0.5682,3,1979,558,0,0,2914,1456,219740,490,0,Kenya_SME
Transport,2.8,2,166862,6,28.37,108368,87495,96,0.1926,3,16952,1434,1,3186,1093,1946,65971,179,1,Kenya_SME
Transport,1.3,6,201039,24,18.76,16767,15052,82,0.1023,1,6751,1982,0,0,3739,810,85499,228,0,Kenya_SME
Hospitality,6.1,1,775368,12,23.13,20555,14969,114,0.2717,2,8503,1425,0,0,604,596,12525,19,1,Kenya_SME
Services,7.4,1,418977,24,18.8,75117,68621,163,0.0865,9,5700,1233,0,0,1162,1173,12896,21,1,Kenya_SME
Retail,1.9,4,97028,12,20.93,37641,31578,80,0.1611,4,941,911,0,0,969,1262,34682,58,0,Kenya_SME
Informal,3.4,2,856823,36,22.5,12970,8399,303,0.3523,6,2843,998,0,0,773,398,200505,375,1,Kenya_SME
Retail,3.3,5,1039689,18,6,82767,50073,208,0.395,4,4772,2673,0,0,1359,2009,65943,161,0,Kenya_SME
Informal,0.8,1,322372,12,17.5,31167,21873,442,0.2982,4,8676,2141,0,0,2107,348,155055,435,1,Kenya_SME
Agribusiness,0.5,4,1951313,36,16.13,110026,43476,447,0.6049,5,15147,1783,0,0,1586,797,25381,47,0,Kenya_SME
Services,2.2,2,474374,12,22.26,198339,163411,271,0.1761,0,12016,747,0,0,3692,987,59688,164,0,Kenya_SME
Construction,7.5,11,494879,12,14.48,56122,47638,109,0.1512,4,6178,2878,1,7014,1059,720,54876,187,1,Kenya_SME
Wholesale,1.4,6,329330,18,23.39,128679,61194,292,0.5244,1,1067,852,0,0,2544,769,114618,238,0,Kenya_SME
Wholesale,2.5,3,113436,36,21.35,35624,32592,159,0.0851,8,2034,665,0,0,3749,1000,49220,89,0,Kenya_SME
Agribusiness,0.5,4,145328,24,23.6,29201,7801,533,0.7328,4,18862,2554,0,0,1474,639,124566,377,1,Kenya_SME
Agribusiness,0.5,2,174709,48,19.24,54900,27450,87,0.5,5,2772,4756,1,10534,1571,1137,74074,112,0,Kenya_SME
Retail,5.1,4,383559,12,13.43,29880,23583,263,0.2108,5,3325,2480,1,2422,2037,1293,13533,55,0,Kenya_SME
Wholesale,6.1,17,505865,18,15.7,117801,108183,644,0.0816,3,912,3291,0,0,5329,2978,123973,456,0,Kenya_SME
Manufacturing,10.6,1,972114,18,23.38,36373,34040,97,0.0641,11,9445,625,0,0,1890,1042,137143,176,1,Kenya_SME
Agribusiness,6.5,5,1516248,18,25.88,29447,17497,841,0.4058,3,6144,2208,1,1629,3278,4371,122822,686,1,Kenya_SME
Manufacturing,10.6,2,611996,48,20.81,56094,41854,115,0.2539,1,13394,1711,1,4026,2666,1290,48928,76,0,Kenya_SME
Construction,1.6,1,575478,24,17.2,119378,97507,187,0.1832,6,3312,3334,1,17149,439,840,112827,300,0,Kenya_SME
Hospitality,3.4,7,128699,12,21.32,66104,27218,59,0.5882,3,500,575,0,0,2632,872,37562,122,0,Kenya_SME
Manufacturing,8.6,11,617777,12,14.71,80892,21154,246,0.7385,2,2567,1586,0,0,3321,961,105196,170,0,Kenya_SME
Informal,1.5,6,1110603,18,14.81,34291,28568,386,0.1669,9,1189,2146,0,0,2161,395,101035,222,0,Kenya_SME
Services,7,36,785862,36,10.97,53961,26667,115,0.5058,2,3355,3885,0,0,1217,288,63882,274,0,Kenya_SME
Manufacturing,7.2,3,1499074,12,20.94,36357,18898,240,0.4802,4,5323,6378,0,0,1598,1270,136100,222,0,Kenya_SME
Manufacturing,1,2,1287830,24,13.84,131809,28127,1339,0.7866,0,7972,1329,1,9087,2061,1376,483305,636,0,Kenya_SME
Hospitality,6.1,12,2479021,24,17.19,124197,24839,368,0.8,2,3823,2197,0,0,2081,1665,64851,327,1,Kenya_SME
Agribusiness,18.2,13,704062,18,23.83,20339,8938,145,0.5605,7,4000,723,1,769,2423,1114,72933,471,1,Kenya_SME
Agribusiness,0.6,12,123721,36,20.3,25100,13769,136,0.4514,4,23201,1439,1,3483,1107,1123,98383,318,1,Kenya_SME
Informal,10.9,1,99660,18,14.27,116185,94585,140,0.1859,3,4138,575,0,0,4013,1047,237503,1011,0,Kenya_SME
Transport,5.5,3,742955,18,14.88,93622,86773,519,0.0732,0,3329,3319,1,2698,1726,1197,99672,214,0,Kenya_SME
Transport,9.7,1,1403430,24,18.04,45450,20020,500,0.5595,4,12315,10177,1,2551,3891,2051,124202,437,0,Kenya_SME
Transport,3.3,26,644752,24,18.39,71233,58417,187,0.1799,3,2936,1638,1,1820,754,919,38783,194,0,Kenya_SME
Transport,2.5,2,2126782,18,16.7,101252,45014,519,0.5554,0,9859,811,1,1313,5232,2227,69259,113,0,Kenya_SME
Retail,10.3,1,859710,6,26.42,30848,22000,114,0.2868,3,5326,469,1,9002,1679,441,28616,26,1,Kenya_SME
Transport,19.3,3,522791,12,16.9,56645,35060,143,0.3811,5,1174,3630,0,0,2746,2017,61342,161,0,Kenya_SME
Agribusiness,3.8,4,2064291,36,19.89,42540,21135,161,0.5032,5,13617,2730,1,1949,1363,889,29595,34,0,Kenya_SME
Retail,4.5,7,175652,60,22.92,63022,47729,288,0.2427,7,1136,8754,0,0,1251,1237,105074,580,0,Kenya_SME
Informal,5.2,3,424922,12,19.98,26487,23031,181,0.1305,9,5327,1269,0,0,862,975,81920,102,0,Kenya_SME
Retail,4.7,2,95170,18,21.31,23085,12427,981,0.4617,3,3060,3320,0,0,2490,1831,116660,239,0,Kenya_SME
Retail,4.3,3,894998,36,10.44,53010,20967,72,0.6045,5,2609,1403,1,7260,3339,4461,82859,154,0,Kenya_SME
Agribusiness,17.2,1,423687,48,28.15,9859,2259,44,0.7708,6,4444,1828,0,0,2141,1627,61910,355,0,Kenya_SME
Hospitality,7.5,15,59360,48,27,19497,4942,38,0.7465,6,4922,1688,1,1654,1982,1943,38504,115,0,Kenya_SME
Informal,8.7,4,120199,12,14.1,37066,23924,140,0.3546,5,9231,5562,0,0,1907,1719,146303,167,0,Kenya_SME
Retail,4.8,8,468802,24,13.84,133481,55397,466,0.585,5,24753,1397,1,1982,1014,430,203712,604,0,Kenya_SME
Manufacturing,4.6,4,371974,60,12.9,48381,16206,358,0.665,1,7952,3359,1,1290,1864,1327,145103,651,0,Kenya_SME
Transport,9.3,2,11933454,6,13.09,243656,151659,400,0.3776,1,2226,3954,1,2206,2866,3154,417464,1331,0,Kenya_SME
Wholesale,15.7,19,309045,12,22.58,66250,34015,257,0.4866,4,9593,2650,1,4756,3113,500,142876,232,0,Kenya_SME
Agribusiness,0.5,7,574749,24,11.75,54433,23548,290,0.5674,2,4531,4410,1,8366,1245,593,182172,199,1,Kenya_SME
Agribusiness,3.7,5,153175,36,17.51,18089,6626,171,0.6336,6,2353,707,0,0,800,929,39938,142,1,Kenya_SME
Wholesale,6.3,1,97548,18,11.53,95650,32263,415,0.6627,2,2181,756,0,0,1155,629,164194,259,0,Kenya_SME
Retail,9.8,3,735732,18,23.91,39048,22724,221,0.418,2,6123,1040,1,296,1131,893,31236,110,0,Kenya_SME
Transport,1.2,17,56177,24,16.97,148459,103090,75,0.3056,4,4205,2183,0,0,934,785,54572,104,1,Kenya_SME
Agribusiness,1.5,14,597430,18,12.92,28749,23607,448,0.1789,1,6084,2700,1,810,1487,2715,91927,152,1,Kenya_SME
ICT,0.5,3,238030,12,25.01,266881,86190,334,0.677,3,5787,501,0,0,2226,566,252332,1556,0,Kenya_SME
Transport,4.9,13,3715541,60,20.22,68756,50704,316,0.2625,1,4256,1942,1,2378,3172,1335,115944,113,0,Kenya_SME
Wholesale,4.2,18,402970,48,23.64,106298,71301,334,0.3292,2,1640,741,0,0,2337,937,99952,346,0,Kenya_SME
Transport,5.5,3,1182329,12,17.59,150750,69924,153,0.5362,4,1474,903,0,0,3544,1388,112811,262,0,Kenya_SME
Retail,1,14,411288,24,17.16,28101,19361,648,0.311,3,2022,2424,0,0,1285,626,45702,99,0,Kenya_SME
Agribusiness,3.5,13,113280,12,18.7,20735,13854,144,0.3318,7,3040,579,0,0,3703,300,35493,52,1,Kenya_SME
Services,23.4,9,1887623,36,23.91,16923,11869,145,0.2986,3,1572,1492,0,0,428,940,255844,845,0,Kenya_SME
ICT,12.4,10,161765,36,17.15,591057,526101,296,0.1099,5,4325,835,1,212,3215,904,193943,786,0,Kenya_SME
Hospitality,6,2,944435,12,19.82,129944,98085,379,0.2452,0,34023,1786,1,1345,2522,1641,496767,1791,0,Kenya_SME
Manufacturing,4.9,9,308741,18,18.35,166214,81255,402,0.5111,1,2625,7318,0,0,1308,1323,53515,121,1,Kenya_SME
ICT,6.7,4,361932,6,18.32,60006,36840,250,0.386,2,2363,2138,1,17318,3664,1360,120933,548,0,Kenya_SME
Agribusiness,4.6,1,1670770,12,8.26,15877,5592,262,0.6478,2,3593,1688,0,0,660,919,52422,129,0,Kenya_SME
Retail,16.2,17,383478,18,28.17,19287,14184,425,0.2645,4,3899,3048,0,0,1301,320,44869,160,0,Kenya_SME
Agribusiness,8.1,3,1019296,36,19.92,37396,13797,226,0.631,5,10940,4035,0,0,2701,1564,82446,150,0,Kenya_SME
Hospitality,7.4,5,460064,24,14.02,42319,31725,400,0.2503,1,18623,2717,1,11718,1958,722,128025,610,0,Kenya_SME
Services,3.6,6,652659,24,13.09,118291,86620,190,0.2677,0,5687,546,1,5931,2293,725,396367,1211,0,Kenya_SME
Services,0.5,1,303646,24,23.34,26978,19516,207,0.2766,4,2352,3434,1,857,2352,529,24304,81,0,Kenya_SME
Transport,1.4,3,110430,36,15.98,102133,68610,568,0.3282,2,1622,1136,1,11989,7397,1173,53027,61,0,Kenya_SME
Retail,2.2,8,645817,12,28.64,20463,10901,71,0.4673,8,7769,1213,0,0,1188,1461,34629,124,1,Kenya_SME
Retail,8.8,5,540460,18,19.85,70118,38967,726,0.4443,3,7092,901,1,2066,1434,949,120923,134,0,Kenya_SME
Retail,5.8,3,162555,36,14.59,33814,14235,344,0.579,2,7244,1077,1,2629,5577,944,107047,643,0,Kenya_SME
Retail,1,5,592995,12,21.37,93286,84522,299,0.0939,2,500,2112,1,3025,1362,1194,87652,206,0,Kenya_SME
Manufacturing,5.2,11,101853,24,22.73,22802,20029,152,0.1216,3,2855,1730,0,0,1594,429,130063,806,0,Kenya_SME
Agribusiness,1.3,1,549585,36,19.12,31971,25117,106,0.2144,4,10539,1161,1,1073,563,427,76923,140,0,Kenya_SME
ICT,0.5,4,63524,36,21.12,109255,81369,413,0.2552,0,4301,589,1,11415,5841,901,128655,251,0,Kenya_SME
ICT,5.4,4,35850,18,19.97,70228,52683,344,0.2498,4,1821,3872,1,5626,476,773,63349,221,0,Kenya_SME
Construction,1.8,21,591205,24,17.97,13113,4940,134,0.6232,8,2414,1924,1,2660,1387,537,117382,131,1,Kenya_SME
Retail,0.6,12,294538,36,17.29,50619,24536,90,0.5153,5,2783,1695,1,4816,945,2046,29046,52,1,Kenya_SME
Services,2.7,1,529302,36,21.53,90458,61825,85,0.3165,2,774,1669,0,0,1502,1623,419047,785,0,Kenya_SME
Retail,2.1,15,1002119,36,13.15,225392,102337,574,0.546,0,3693,1413,1,5906,3069,3594,778729,3156,0,Kenya_SME
Agribusiness,1.3,3,499935,12,13.74,58011,42320,147,0.2705,3,2026,1324,0,0,4858,1172,255730,365,0,Kenya_SME
Wholesale,1.7,1,960521,36,24.28,76299,64900,170,0.1494,6,11533,869,0,0,3741,1321,193896,152,0,Kenya_SME
Manufacturing,20,1,512415,12,16.42,106173,58206,269,0.4518,3,5248,2353,1,685,2927,1261,21229,150,0,Kenya_SME
Transport,1.8,15,140794,24,15.68,694737,575654,708,0.1714,2,3268,1332,1,381,2334,3057,411026,1891,0,Kenya_SME
ICT,3.6,6,933390,48,24.41,20215,10220,446,0.4944,4,2022,2423,0,0,2944,1254,43956,92,1,Kenya_SME
Retail,11.1,1,206197,6,24.04,63596,23841,169,0.6251,5,5590,1524,1,3198,4436,499,138389,423,0,Kenya_SME
Construction,5.9,19,1211250,36,17.46,176866,128107,465,0.2757,2,8716,1033,1,824,3014,1432,174473,558,0,Kenya_SME
Retail,3,8,1759662,24,13.36,93217,85845,156,0.0791,2,2639,1748,1,555,1690,1358,249409,851,0,Kenya_SME
Informal,7.1,4,533888,18,20.18,256141,115431,499,0.5493,2,3174,1443,0,0,2109,1783,24703,66,0,Kenya_SME
Wholesale,3.9,5,1277582,12,17.53,129535,106278,202,0.1795,0,2127,1397,0,0,2557,667,185897,1022,0,Kenya_SME
Retail,0.5,1,135261,36,20.99,39229,24398,180,0.3781,2,6649,1012,1,15410,1186,635,13478,26,0,Kenya_SME
Manufacturing,4.6,26,145895,12,24.19,26303,15400,320,0.4145,2,4778,1406,1,10861,2292,503,177392,487,1,Kenya_SME
Agribusiness,4.5,2,574466,18,24.46,34011,18274,244,0.4627,0,3845,961,1,2081,2741,1368,743738,2238,0,Kenya_SME
ICT,18,2,666187,18,20.67,706889,141477,184,0.7999,1,8424,1241,1,4654,2017,1846,581442,1791,0,Kenya_SME
Agribusiness,6.6,5,475099,12,26.45,10466,5066,165,0.5159,3,3832,1901,0,0,2838,734,272376,712,0,Kenya_SME
ICT,10.9,59,362097,6,23.74,77341,51879,413,0.3292,4,8730,1216,1,480,3186,1564,109332,186,0,Kenya_SME
Agribusiness,5.4,1,1095635,36,18.43,170781,90616,168,0.4694,0,2856,2844,0,0,2401,1173,196944,781,0,Kenya_SME
Informal,0.9,8,33028,48,16.15,12115,8731,87,0.2794,1,3556,2932,0,0,4389,1062,51369,368,1,Kenya_SME
Agribusiness,2.9,4,615599,6,19.28,179462,130912,278,0.2705,7,7790,1811,1,39987,2861,1623,60363,242,0,Kenya_SME
Transport,3.3,6,608439,36,17.5,167249,56399,741,0.6628,1,4194,633,1,5856,1535,3334,106084,373,0,Kenya_SME
ICT,5.6,12,447061,6,22.23,62252,52625,107,0.1546,5,2118,1722,0,0,1508,3073,244865,1407,1,Kenya_SME
Agribusiness,4.9,2,420014,18,18.57,24312,21904,148,0.0991,5,5009,1163,1,1399,1473,1152,87976,258,0,Kenya_SME
Retail,16.5,3,351902,12,20.52,168387,132495,163,0.2132,5,2580,1385,0,0,5528,1222,169294,317,0,Kenya_SME
Services,3.8,2,1098358,24,14.65,232685,131387,410,0.4353,2,3291,2686,1,1579,1611,1676,208681,765,1,Kenya_SME
Wholesale,3.6,16,315408,24,25.12,152503,119952,1158,0.2134,0,8919,2047,1,1303,1112,5233,215736,537,0,Kenya_SME
ICT,3.1,14,284459,18,19.63,240083,150635,176,0.3726,4,14584,1108,1,20652,2735,491,111272,106,0,Kenya_SME
Agribusiness,13.2,1,169856,24,18.22,100872,27718,368,0.7252,0,14253,2045,1,6514,1049,1194,120345,538,0,Kenya_SME
Hospitality,7,5,145729,48,22.87,26780,23097,183,0.1375,8,10495,2570,0,0,490,1557,39855,195,1,Kenya_SME
Construction,0.5,11,208827,12,11.12,56618,31503,310,0.4436,4,7830,6520,0,0,3648,2459,66739,364,0,Kenya_SME
ICT,0.5,1,355367,24,26.17,66721,27982,106,0.5806,4,2667,1040,0,0,2159,846,26173,85,0,Kenya_SME
